,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county,shape__area,shape__length,globalid
348,Sanger,25443,156,0,9,15,132,304,59,178,67,0,Fresno,23145354.484375,30814.8590475768,a412ff41-944c-4b1f-82cd-442152ffee6b
349,San Jacinto,49452,108,2,1,68,37,1637,334,1018,285,5,Riverside,97900780.6953125,72246.5252366248,26a048a2-b665-4994-9ea9-f903ea72d164
350,San Jose,1040008,4559,32,671,1339,2517,25164,4114,14924,6126,135,Santa Clara,736732528.890625,558594.751584614,04cabb06-702a-4308-90de-372d1a31da84
351,San Juan Capistrano,36209,63,2,4,20,37,297,69,201,27,2,Orange,53812533.9257813,39988.5941283385,5ad6699b-f094-4236-8c2d-f020af5063f1
352,San Leandro,90297,454,0,18,283,153,4105,375,2941,789,16,Alameda,55297492.9804688,44204.8238907699,c0f019a7-9299-4d7b-b6dc-eae218e434b0
353,San Luis Obispo,47735,192,0,44,34,114,1738,277,1387,74,25,San Luis Obispo,53035632.7109375,63090.7801074243,2a4a14d5-79ad-4951-8356-449c441ff2e1
354,San Marcos,98598,193,0,17,46,130,955,163,649,143,3,San Diego,91060676.8398438,82477.3069318236,f4582ec4-c221-4a78-b2bf-ec5ee2620546
355,San Marino,13196,14,0,1,3,10,208,77,126,5,0,Los Angeles,14270612.8320313,20988.4402580177,2224cf5b-3d9c-4f56-abb3-daae68fe447a
356,San Mateo,106020,266,2,45,68,151,2217,516,1523,178,9,San Mateo,51529814.7421875,55198.7179558889,df1d93b9-1681-4016-8426-9186099481df
357,San Pablo,31336,194,2,7,102,83,1009,101,589,319,11,Contra Costa,10873954.8945313,20723.2271520139,eca71bdb-3d39-46e6-88d5-d79b7a03c1ce
358,San Rafael,58819,230,0,23,87,120,1686,299,1173,214,13,Marin,69657593.3789063,91209.0985089714,b33c3143-ff46-43bd-b805-d75840603026
359,San Ramon,76387,58,0,4,21,33,1099,179,869,51,3,Contra Costa,83436495.859375,53489.5086293224,01b863ff-242c-483e-bd2d-6928982adf3c
360,Santa Ana,333664,1453,13,207,472,761,6808,854,4611,1343,49,Orange,102836271.988281,59297.6920757499,daf026f5-9d30-4385-a2f7-87bb5b2559b5
