,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county,shape__area,shape__length,globalid
23,Avenal,12991,69,0,7,3,59,58,26,28,4,0,Kings,77458981.5390625,55421.4830221233,77f517a7-7ba5-4159-b73b-9ed6ed558008
24,Azusa,50405,144,5,17,46,76,959,174,646,139,12,Los Angeles,36615279.453125,58591.2627191577,cb5f0af2-849d-46fd-94f1-02f0adb1cfcb
25,Bakersfield,388080,1766,34,116,701,915,16074,3888,9277,2909,470,Kern,591957825.328125,536308.402107617,e87b9568-4d95-4ecd-a142-41268e583cbe
26,Baldwin Park,75862,188,1,24,50,113,1110,196,606,308,5,Los Angeles,25658138.6914063,32301.7639831901,060f5a5a-82ed-416e-a0f9-8ca754dbe65a
27,Banning,31450,136,2,16,27,91,532,179,210,143,0,Riverside,87707280.59375,98557.2975789746,654116ac-4eea-4993-ad53-d0990c693a16
28,Barstow,24121,274,5,10,82,177,986,285,527,174,37,San Bernardino,159114428.855469,124528.363805011,2d264963-33f7-45e0-afb7-dc27bf7b63d3
29,Beaumont,50990,92,2,14,38,38,922,178,548,196,11,Riverside,114352990.65625,95506.7991222663,b77d8417-10b4-4c2f-9a0f-82f65d1ea8ac
30,Bell,35759,168,0,11,37,120,441,127,224,90,0,Los Angeles,9896026.3125,24187.7973649776,6d6fa9b6-09fe-4d1d-a80e-14c8066ae6d5
31,Bellflower,77196,327,1,29,107,190,1506,326,860,320,7,Los Angeles,23316766.09375,21825.9089684598,7870b149-77ef-44dd-8bda-83ce1e1671b3
32,Bell Gardens,42366,147,0,4,69,74,630,78,334,218,4,Los Angeles,9285293.390625,14226.2157586177,2519eb23-edc0-4724-be7b-9fa3d0a97fef
33,Belmont,27272,45,1,8,1,35,392,50,312,30,2,San Mateo,19123418.1992188,28173.7772276943,3cae9a74-f54c-4211-ace2-e7d6c3943792
34,Belvedere,2114,1,0,0,0,1,15,2,13,0,0,Marin,2645760.046875,8307.52493870506,355cc2b2-ec2a-4160-936f-5f58cc3f72fd
35,Benicia,28471,16,0,1,13,2,377,72,250,55,2,Solano,54541414.734375,44254.5232957136,950ed4e1-d97b-4c75-b95c-b9f45e348467
36,Berkeley,122788,618,0,74,369,175,6256,771,4993,492,17,Alameda,44043848.6679688,41459.8367324381,6e2ab811-24ca-4405-858b-4b515f2cbf1b
37,Beverly Hills,34211,103,1,6,52,44,1499,257,1197,45,6,Los Angeles,21616862.796875,31778.1464910811,efe66720-091a-40ff-97d2-84df7e2b6e02
38,Biggs,1726,3,0,1,0,2,17,3,10,4,0,Butte,3846221.96875,16135.5486184904,af347e2a-a981-4860-a8e6-86ada7fd3c7d
39,Bishop,3731,34,0,9,6,19,183,29,150,4,0,Inyo,7733927.79296875,20427.2825511611,0d21b968-d076-4167-bdbb-12cdccfdbbaa
40,Blythe,19889,92,0,7,29,56,644,177,434,33,44,Riverside,102128779.167969,121185.789441709,7043d734-eb55-41ec-8d86-b50f2406934c
41,Bradbury,1089,1,0,0,1,0,10,2,6,2,0,Los Angeles,7454190.37109375,14387.3505835872,8c1b5b8c-e57c-47e8-bea9-8c33f7ae02bd
42,Brawley,26379,121,2,4,8,107,618,95,468,55,15,Imperial,29855025.03125,38180.6914694529,62719834-e1c8-4e0c-bbe6-eb1ecad56741
43,Brea,44155,72,0,10,29,33,1450,169,1209,72,3,Orange,46234997.2148438,68241.9707096387,8520349e-12de-4a99-b7c9-80b763721795
44,Brentwood,65483,166,0,16,67,83,1335,142,1095,98,11,Contra Costa,62015016.90625,55421.5446414708,57f44770-2dee-4e7c-b3bb-72ea924d5ffc
45,Brisbane,4746,10,0,2,0,8,137,64,52,21,1,San Mateo,13141853.6601563,22435.465536382,57a2d229-f92d-4dd1-9918-ff5202225025
46,Buellton,5142,3,0,0,0,3,54,15,31,8,0,Santa Barbara,6141802.3671875,14624.7621433802,22b6367d-dd78-4c17-a6ef-3c8767d1f32f
47,Buena Park,82627,246,1,15,91,139,2061,230,1567,264,1,Orange,39656062.1640625,48303.8377154201,91e1bad8-fe4c-462e-95cc-d9ba0c260efd
48,Burbank,103738,189,1,11,54,123,2617,299,2107,211,4,Los Angeles,65680187.7109375,37732.6951002645,6db9ddaa-7063-4c73-876d-194be1e2c587
49,Burlingame,30677,74,0,9,25,40,1185,162,937,86,4,San Mateo,18469807.4257813,33027.5678387048,bfaef773-993c-4454-8272-205fb12fd32d
50,Calabasas,24016,35,1,6,15,13,331,81,226,24,1,Los Angeles,52298281.7851563,55027.0141093007,485c70b9-9bab-4aeb-be5c-7163cca1743c
51,Calexico,40327,94,0,3,21,70,894,244,470,180,56,Imperial,31087571.5664063,29186.6599500101,267b9237-8daa-4d25-851a-23948c144c2f
52,California City,14319,83,0,13,15,55,281,102,120,59,3,Kern,789537582.632813,218543.464220747,af34f78a-3ccb-4bd3-b0b3-43e772f0a9a9
53,Calimesa,9073,22,0,0,7,15,280,51,193,36,0,Riverside,56203576.0234375,49018.056262052,63e72b98-e528-4e71-9850-38b5c1f0e383
54,Calistoga,5341,6,0,0,0,6,70,7,54,9,0,Napa,10908956.6210938,18961.5001568051,1168be30-07e6-4065-b24c-48fac689a0b7
55,Camarillo,69628,58,0,22,16,20,817,100,676,41,2,Ventura,75049422.5078125,81527.131155545,095e1d8c-dc6f-4063-ad62-c4fe61562963
56,Campbell,42697,89,0,22,21,46,1357,209,990,158,13,Santa Clara,24998433.1601563,42631.9448015409,2bbbd31b-a793-4f85-b983-cde31ce0840f
57,Canyon Lake,11353,15,0,0,1,14,74,15,47,12,0,Riverside,17337155.8125,23490.5798595959,d8a59ca2-77a6-4047-a457-f95f8a4be94c
58,Capitola,10101,30,0,3,6,21,528,53,454,21,2,Santa Cruz,6563801.6015625,17092.7812002259,27c03839-c5ee-47e4-93a3-48e6b28c06fd
59,Carlsbad,117220,240,3,40,39,158,2135,297,1671,167,11,San Diego,144618402.515625,64938.8544561364,5a6fff42-3f29-42e4-b2d9-4b889b46e4fe
60,Carpinteria,13514,11,1,0,3,7,155,19,116,20,0,Santa Barbara,9769194.74609375,25481.3894968684,d3427c1b-b943-4c8d-9437-f1271cb93334
61,Carson,91947,444,5,31,122,286,2004,328,1277,399,14,Los Angeles,71264281.984375,46865.8997333276,f4518762-7f07-4167-bcfe-71639611bd82
62,Cathedral City,55346,144,7,19,48,70,602,182,227,193,4,Riverside,85685092.9335938,72484.3277856403,8fbfe59f-3fd3-4781-bc96-65722c530181
63,Ceres,49134,209,1,12,59,137,1158,239,628,291,20,Stanislaus,39070074.109375,50115.3067791011,70de1841-e633-417e-a002-e2cdfcc7f4b2
64,Cerritos,50642,127,1,10,65,51,1634,314,1198,122,0,Los Angeles,33280830.8828125,44159.8808403631,865ccce4-120a-41bf-84c1-bfd29b2cc837
65,Chico,95826,557,0,100,104,353,2406,272,1753,381,48,Butte,150665486.738281,133508.407352818,5cf1663f-0a95-414f-9748-4c40491ef5bc
66,Chino,93348,329,3,35,96,195,2224,376,1649,199,5,San Bernardino,112329838.292969,76113.5247241607,9d9e5c6b-1ae6-4420-9b08-e80745038ca6
67,Chino Hills,84577,95,1,10,20,64,891,222,606,63,5,San Bernardino,169201220.730469,64200.6791684471,5cadc250-9b91-4f00-926f-b28fda8834a2
68,Chowchilla,18792,39,0,2,3,34,234,71,109,54,7,Madera,47512774.2304688,54494.8764883057,cb8e37d6-82f2-4d02-880e-2deeb865b903
69,Chula Vista,275230,904,3,61,265,575,3816,486,2503,827,36,San Diego,190896872.820313,117806.854388038,023d1032-1b36-4cf5-8758-5f9130ebac61
70,Citrus Heights,88496,313,1,46,76,190,2248,372,1607,269,7,Sacramento,60529480.2617188,37762.3354788659,b79255dc-3963-433e-8e39-aa88db7ba337
71,Claremont,36681,51,0,6,23,22,774,191,552,31,7,Los Angeles,51009193.2226563,55362.5310834762,16410087-eeee-4dcb-8d43-a6467f20dd18
72,Clayton,12356,1,0,0,1,0,155,14,137,4,0,Contra Costa,15979272.9726563,22349.1629055951,b7f2675d-373a-4b34-af84-b10369054fba
73,Clearlake,15400,119,1,19,36,63,460,146,210,104,11,Lake,45141923.8789063,59497.0070527463,efa9afc2-6f4c-4f71-811e-1f52ab8d4588
74,Cloverdale,8910,16,0,1,0,15,116,25,87,4,1,Sonoma,13503600.1523438,32391.9174313441,2b6a2347-ed3f-4362-b790-8b7089f33761
75,Clovis,114170,243,0,54,32,157,2276,307,1810,159,6,Fresno,105253884.558594,97663.5920843977,7fe534b0-8a06-4965-89b6-a244f1a5697f
76,Coachella,46485,126,0,9,43,74,894,135,580,179,5,Riverside,116022122.140625,74723.4726990298,209534f3-1a20-49f5-83f6-92a10b358a02
77,Coalinga,16356,41,0,2,4,35,217,38,159,20,4,Fresno,26811703.5507813,59004.0782620929,72d7e3bd-16fa-493b-9907-262193259ac1
78,Colma,1512,28,0,0,20,8,325,36,263,26,2,San Mateo,7919731.93359375,14677.5574087004,b8898e06-fbe3-4414-805b-a19685b1b47a
79,Colton,55059,215,1,9,103,102,1517,317,836,364,8,San Bernardino,61239993.6367188,87245.8790894998,289bb1cd-f50a-43ce-9fab-3d49139c2fe4
80,Colusa,5903,6,0,4,1,1,78,28,34,16,0,Colusa,18267046.03125,51340.7961007565,b8cb6085-8438-4866-9433-acf12f10f304
81,Commerce,12804,138,1,5,49,83,1004,128,624,252,16,Los Angeles,24772005.2695313,34419.7069995715,68975d0f-8ff4-4b4e-9535-3a54ca4ec7ed
82,Compton,96638,1104,18,40,427,619,2346,334,1285,727,44,Los Angeles,38044748.484375,65518.6681167707,d45c30cd-6f0e-400c-b6a7-06af1a2a0566
83,Concord,130615,541,2,67,234,238,4560,434,3512,614,23,Contra Costa,127513459.925781,73130.13750995,bad32c1e-4785-4294-98a6-b4f78931887d
84,Corcoran,21353,118,1,8,12,97,272,65,157,50,5,Kings,29858425.0,53934.7707754362,5e830bb0-2692-46b2-84dc-22b2f17dfdf9
85,Corning,7537,28,0,6,4,18,211,51,127,33,1,Tehama,16019825.7421875,43990.3019648362,33990b3b-32b3-43ac-bce9-7418d9993f4c
86,Corona,170875,291,4,43,103,141,3482,646,2251,585,28,Riverside,150160692.253906,132639.418052237,d6a88959-43a9-4ff4-9920-82bd4940de0c
87,Coronado,21115,9,0,1,7,1,324,34,276,14,2,San Diego,54369000.3710938,51643.9853782573,2eb073ea-82ca-44a7-80a6-239ca0ad651b
88,Costa Mesa,114047,312,0,52,104,156,3739,450,2934,355,16,Orange,59407007.5585938,42864.6388678365,fac1c6ae-444d-4765-bcb8-709784ffbe2a
89,Cotati,7641,40,1,6,5,28,95,15,68,12,1,Sonoma,8054478.47265625,22654.0211633402,5b9e4bdf-d272-49eb-9914-b0362e024d7e
90,Covina,47985,171,2,25,43,101,1189,239,779,171,11,Los Angeles,26633974.5429688,68641.7573279985,98b00a9c-0fdb-4a1c-9eb0-d4e00d3fdd8c
91,Crescent City,6716,23,0,2,8,13,311,59,238,14,6,Del Norte,9047176.8046875,27369.6547145774,0b985ba9-d50b-4c8c-9bb9-7bd7ea85a1ff
92,Cudahy,23828,89,2,2,29,56,214,39,111,64,3,Los Angeles,4619389.23046875,12556.3541993487,9772afdb-d8c3-46e1-b0c9-3798b7e29fdc
93,Culver City,39252,182,0,2,102,78,1647,172,1380,95,1,Los Angeles,19392272.7109375,43000.490746853,027a401f-7166-4f9c-989c-cb48ffc50245
94,Cupertino,60357,55,1,6,14,34,1018,175,803,40,1,Santa Clara,46432499.9726563,61921.0830346664,bbc4a4da-29f5-47fc-ad55-2f0ef9594276
95,Cypress,49085,52,1,7,21,23,596,98,424,74,2,Orange,24931636.0039063,30858.9018578347,7f27c17f-a060-4721-b163-85317dcf71eb
96,Daly City,107748,232,0,44,91,97,1868,170,1517,181,12,San Mateo,31481708.234375,58686.9224074959,f758ddd6-f085-4f6c-8d0c-bb17c0bb9782
97,Dana Point,33779,52,0,0,18,34,399,61,311,27,0,Orange,23829533.8007813,35764.3800881183,a22cb1f5-4c3e-465f-a3c7-004c57308fb1
98,Danville,44997,23,1,5,7,10,296,36,247,13,1,Contra Costa,75149079.2265625,59498.8340194345,dd4f0b62-66b2-4651-ba8e-733eee15684b
99,Davis,69767,107,2,21,44,40,2190,274,1816,100,4,Yolo,42513322.7070313,43727.0761240824,a2339da4-4198-40b8-a428-15783c349cea
100,Delano,53002,205,8,8,33,156,1118,203,603,312,40,Kern,58185971.71875,81035.505056398,c1ba4d11-7395-4df5-ad5a-e4ec3b122467
101,Del Mar,4369,7,0,1,2,4,67,17,37,13,0,San Diego,6528006.859375,15013.9662996651,272ec060-91fc-480f-9760-9d392695054f
102,Del Rey Oaks,1674,7,0,0,6,1,39,8,30,1,0,Monterey,4354362.5859375,15438.2679649463,97c2f816-9d14-454f-b787-ea76ca2f994e
103,Desert Hot Springs,29107,255,5,13,59,178,680,301,216,163,4,Riverside,115059015.949219,89443.7519455644,f03901d4-e5c1-43e6-adbe-8cbf747f410b
104,Diamond Bar,56364,72,1,4,25,42,908,282,574,52,2,Los Angeles,56260173.3046875,40852.0669566082,0249c0e4-090b-454a-8a6b-1e99971f89ad
105,Dinuba,24685,161,1,5,25,130,530,58,405,67,20,Tulare,26401253.625,32025.4985524667,14af3a48-508f-47b9-89db-1271b638086f
106,Dixon,20775,54,0,4,14,36,389,35,284,70,3,Solano,30637808.0859375,45030.9713116688,d53bfc36-aa76-4d68-991d-70de339e80e8
107,Dorris,897,4,0,0,0,4,11,8,2,1,0,Siskiyou,3429176.59375,10506.6316227417,1f5b113e-71a9-4bc0-ba27-82d70ef23460
108,Dos Palos,5594,64,0,0,2,62,169,36,89,44,3,Merced,5625361.65234375,19920.8753052145,72e94b51-526f-4fd9-8ffd-20f485340515
109,Downey,112330,352,4,30,151,167,2473,344,1566,563,4,Los Angeles,47429348.0,33293.6806422824,140938f1-aae3-4682-b65a-e9410156ff8d
110,Duarte,21550,55,0,2,10,43,305,48,215,42,1,Los Angeles,25352553.4179688,41232.9447734242,296f3fca-868a-4116-8516-f385bfd22587
111,Dublin,66072,107,0,7,43,57,1259,114,1052,93,3,Alameda,63102256.5585938,47525.9444602977,ad014bab-425f-45db-bcbb-0d718853a44c
112,Dunsmuir,1564,14,0,4,0,10,18,6,11,1,0,Siskiyou,7928150.3515625,31070.5122199109,e46edaa3-feda-49f0-af61-870e6ff9bd6a
113,East Palo Alto,29686,144,1,22,57,64,533,67,360,106,6,San Mateo,10429455.75,17040.0888837243,0622de19-2504-4575-8445-4dc46ae9ee14
114,Eastvale,66310,83,0,3,23,57,944,151,676,117,0,Riverside,49689314.671875,44382.0657163342,4eb4567b-8131-4182-9901-cf5636066d08
115,El Cajon,103686,552,3,38,201,310,2046,371,1316,359,15,San Diego,53431661.0625,86079.6035144981,71ddf90f-3d4b-4294-937f-b9ccf4521ef1
116,El Centro,44303,143,3,9,41,90,1184,228,861,95,7,Imperial,44662188.90625,50443.6951513556,20c0aa9a-cb6f-4073-a231-44cfaa4b85ad
117,El Cerrito,25857,152,1,4,91,56,1300,166,1054,80,7,Contra Costa,15324817.5976563,20414.0993249826,5386b0ce-8c5f-434b-bed7-10269dad0cbf
118,Elk Grove,175492,372,0,35,114,223,2599,292,2107,200,10,Sacramento,180614318.03125,85062.4264201786,cdf4856a-d3f7-4a4c-b23f-6d8719a8efa4
119,El Monte,115830,304,2,34,126,142,1787,347,1046,394,17,Los Angeles,36375737.5820313,39418.7893358009,c123241e-5890-4f71-abf6-bad68dcbb190
120,El Segundo,16727,82,0,5,30,47,625,164,387,74,1,Los Angeles,20524972.4375,21114.5546261691,637e99b5-d200-49d0-b77c-d91380abe98d
121,Emeryville,12380,166,0,12,114,40,2623,95,2415,113,3,Alameda,5216920.73828125,16662.5732975122,d876b8d2-5edb-4ce4-b07f-308e04686d0f
122,Encinitas,63320,86,2,10,15,59,605,115,422,68,1,San Diego,72182317.5429688,58535.0869649252,efde41bb-1ea9-4829-955f-30182d261d3f
123,Escalon,7644,16,0,1,0,15,135,25,102,8,1,San Joaquin,9845771.80859375,31546.1028880539,258b5c6c-8839-4d23-a66b-c20855fb69cf
124,Escondido,153215,536,4,51,143,338,2373,379,1599,395,8,San Diego,138573561.773438,205329.721891013,967d38a2-52b7-408d-8b74-271e425402b5
125,Etna,716,2,0,1,0,1,0,0,0,0,0,Siskiyou,3470354.29296875,11297.0685031613,20ee8dfb-4d06-4b70-9df3-0b9ea7999bde
126,Eureka,26973,195,3,29,63,100,1350,187,977,186,24,Humboldt,72595035.28125,67001.7621693919,d9eecf1e-8100-443c-80cb-4fb04f96fad4
127,Exeter,10557,26,0,5,5,16,265,52,188,25,1,Tulare,9753333.3203125,20871.6456755704,d1a94e43-49ca-4c9e-a9e4-ef394426bda3
128,Fairfax,7569,9,0,3,0,6,92,13,77,2,0,Marin,9362702.875,26563.2614439302,71bcc0c5-6be0-4708-a905-a3452aad87e9
129,Fairfield,118383,442,5,48,162,227,3782,359,2780,643,23,Solano,176053174.117188,159968.993582147,66711b6c-64ba-4de6-af6c-73a257612590
130,Farmersville,10781,35,0,0,5,30,190,24,138,28,3,Tulare,9056224.69140625,22231.5974039177,edd42d55-fc22-4d7b-8ca2-c48b0644ab5c
131,Ferndale,1363,4,0,0,0,4,24,2,17,5,0,Humboldt,5185693.95703125,11752.2745641248,b794dce2-d23a-417b-bb04-8261630c8438
132,Fillmore,15911,20,0,5,3,12,123,24,89,10,4,Ventura,12609623.3632813,27109.0940171828,6d108b8d-d4da-4160-ad92-78c4cfc67d91
133,Firebaugh,8433,11,0,2,2,7,103,15,51,37,0,Fresno,14568509.0859375,34938.4764622032,cf8fe876-d809-476e-8bf8-b2ceab474742
134,Folsom,79927,82,0,12,29,41,1484,278,1127,79,3,Sacramento,127828711.875,60618.547716755,2b5126f2-2f20-487c-b057-037a71ec6fa0
135,Fontana,215883,739,6,83,206,444,3094,483,1846,765,9,San Bernardino,164072192.320313,91356.776229656,7d7da582-ac88-428f-8b40-466e7d5feaf1
136,Fort Bragg,7366,32,0,5,7,20,316,38,262,16,1,Mendocino,12609209.6796875,47830.7809436574,44dab379-6277-4091-87ed-6acfd07c8347
137,Fort Jones,690,2,0,1,0,1,34,12,21,1,0,Siskiyou,2873459.64453125,14024.3054955159,a6d99610-ccfb-4e10-be8e-e475cf7591d8
138,Fortuna,12317,28,0,2,9,17,317,50,231,36,7,Humboldt,23527739.0820313,34275.2805122921,089cded8-1c3e-4096-ae60-a7681e5de479
139,Foster City,34624,39,0,10,8,21,425,63,341,21,2,San Mateo,17727304.7382813,21511.8784789167,92313dfb-ecc7-4e48-9645-1de59d7537b9
140,Fountain Valley,55858,53,0,5,23,25,1163,163,914,86,7,Orange,34015923.2460938,26310.6960313261,6f0d5768-0966-4c8a-bf42-90b4d676ed1e
141,Fowler,6904,29,1,2,5,21,104,42,43,19,0,Fresno,10684029.9375,30865.7067888253,b22e762e-5c33-48bf-9d25-fcf3526ffaec
142,Fremont,240887,400,1,36,159,204,4523,547,3408,568,17,Alameda,324788152.777344,144697.719943739,0ef384e5-e463-4cbc-b281-37d2a37d23a2
143,Fullerton,140194,373,2,80,108,183,3157,318,2479,360,13,Orange,84592255.6445313,60838.9970048308,0581ad17-ed41-4781-a836-8a86325ba525
144,Galt,26796,77,0,10,15,52,449,71,340,38,7,Sacramento,30398390.5742188,46752.88692123,be7f91bd-bbaf-4824-89d3-d0a41d92a73d
145,Gardena,59833,324,3,20,131,170,1202,236,658,308,6,Los Angeles,22071814.125,24272.2339213504,8e9798e8-1aa4-4e5e-8cca-051d27734806
146,Garden Grove,172832,505,6,54,185,260,3909,627,2778,504,17,Orange,67328032.890625,75728.7085274797,92a3f12b-8f13-450b-b490-3fbc4c9c36f9
147,Gilroy,60106,251,5,37,69,140,1479,186,1034,259,23,Santa Clara,67431296.4921875,73015.263574911,8020f735-8056-4988-a1cb-939bf704e378
148,Glendale,202601,231,5,16,93,117,3305,480,2562,263,13,Los Angeles,116231433.210938,70336.1906696737,3de0b61a-bc0a-4a0b-bbf2-a0c0dd7fd7ec
149,Glendora,52211,155,1,21,38,95,1501,187,1241,73,6,Los Angeles,74515449.5625,59814.3264611766,88217cd7-d6f7-43ba-81b7-ee49b580415e
150,Goleta,30930,40,0,2,6,32,509,114,355,40,0,Santa Barbara,30092246.1132813,46802.1309419932,643c32b4-6c18-4e17-af33-2e962024b099
151,Gonzales,8408,17,0,1,4,12,73,12,40,21,1,Monterey,7545441.81640625,27134.3402274752,138c9ee0-c0d8-482d-bd86-162ae574f0a3
152,Grand Terrace,12651,37,1,4,8,24,237,55,149,33,4,San Bernardino,13349239.609375,21841.2242623075,18f9d4c6-df3b-414c-8dc5-93426e9bfcb3
153,Grass Valley,12919,73,3,0,6,64,463,76,326,61,1,Nevada,23952067.1679688,48041.9695399109,222fe0f4-ccb3-4347-a214-1e23d5c6bf91
154,Greenfield,17809,54,1,9,9,35,165,31,98,36,12,Monterey,12209154.328125,30925.4042218567,3bfe84b7-f250-4869-84ab-de3425369204
155,Gridley,6618,29,0,15,3,11,205,47,136,22,3,Butte,9828394.671875,27050.4855657333,e24fb3fb-19e3-42af-83fa-e07c62ddca79
156,Grover Beach,13574,13,0,3,1,9,239,56,151,32,1,San Luis Obispo,9027564.046875,15132.2395055653,868c17b8-e6a7-4ec4-9e7e-0a3e6a70e2c8
157,Guadalupe,7696,15,0,2,3,10,82,32,34,16,2,Santa Barbara,5144463.6953125,17835.6436482855,295d55ad-96ca-467b-800b-730341e52b12
158,Gustine,5896,21,0,2,4,15,116,32,54,30,3,Merced,7397082.0234375,29208.4129123523,86621e07-ec00-4c59-b567-b87e63aada8e
159,Hanford,57232,257,0,18,40,199,1242,131,900,211,15,Kings,70232314.7460938,103732.446115516,adc182f0-8bc4-40ed-b616-719b42e9afa5
160,Hawaiian Gardens,14320,76,0,5,24,47,225,68,101,56,3,Los Angeles,3590395.93359375,9456.85077784985,8638868c-f38b-4d71-8786-487c46fd62d8
161,Hawthorne,87305,636,3,34,190,409,1485,199,930,356,7,Los Angeles,22848027.5585938,40451.3909028261,1365c847-1a2c-4da9-bb81-82c1717f43a2
162,Hayward,161588,552,5,54,275,218,4886,448,3197,1241,27,Alameda,187926706.820313,150960.214415739,786eeda4-a80f-44e3-bd88-cfb55e862228
163,Healdsburg,12208,17,1,1,3,12,176,17,142,17,0,Sonoma,18654908.8007813,41332.2945573473,2b5ef355-e0d5-4752-90dd-5f37d89a1582
164,Hemet,86082,343,5,23,121,194,2877,757,1547,573,21,Riverside,109830880.730469,87602.1666845229,68c59d9e-7cbb-408b-b7d1-917e8d297002
165,Hercules,25789,31,0,5,15,11,341,31,278,32,0,Contra Costa,26787906.6445313,32377.2242691485,9f16a7f0-5b03-4124-9dbb-a61083f78dd0
166,Hermosa Beach,19460,51,0,7,9,35,449,97,326,26,4,Los Angeles,5487784.8984375,10506.4196144161,fdfd3f6b-61bb-4af0-88fe-6b773ce45904
167,Hesperia,95915,462,8,35,111,308,1664,443,893,328,17,San Bernardino,277190052.414063,163259.602060628,350a462d-63eb-49fd-9c82-962a8e8f924b
168,Hidden Hills,1903,1,0,1,0,0,18,10,7,1,0,Los Angeles,6400680.5859375,15762.6601617897,eec7bb2d-92af-4e71-b78c-e0a94a9ebe49
169,Highland,55686,362,7,19,90,246,906,167,511,228,8,San Bernardino,70780878.4570313,81842.6718047581,b9659490-d33e-4303-a640-311eb4ed1263
170,Hillsborough,11521,5,0,0,1,4,97,46,49,2,0,San Mateo,25561624.3671875,33968.9271988645,f9cbeeb6-41c1-47c5-9f92-566f250f4976
171,Hollister,40399,114,1,15,27,71,311,61,174,76,5,San Benito,32995623.625,91879.275745287,74df12fc-b73e-40d9-a0ce-2ee363e7a14e
172,Holtville,6774,14,0,1,2,11,70,13,53,4,4,Imperial,4221823.921875,15071.5501804571,209204a3-c199-44e0-b498-6501523771f0
173,Hughson,7671,5,0,0,0,5,46,8,29,9,0,Stanislaus,7453067.0,17654.6763323405,660ec66b-b9a6-497a-a9e1-0c68d46d23ab
174,Huntington Beach,201843,386,2,61,99,224,4144,535,3280,329,22,Orange,103208441.046875,77682.8319237742,9ace9931-8d8a-45a6-9615-425714aa322c
175,Huntington Park,58181,458,3,31,249,175,1595,214,861,520,9,Los Angeles,11402981.875,24400.3767493443,d105a554-fcfd-41e7-b0a1-6ac022100363
176,Huron,7359,83,0,1,10,72,56,13,25,18,13,Fresno,6737058.07421875,17300.2656834056,0f702375-58a2-43ba-a0d6-9ffb0bb61eac
177,Imperial,18090,5,0,0,1,4,56,10,36,10,0,Imperial,23161095.4804688,43030.9819306942,ca29ac7f-4b4c-4b5b-bde6-8f7ef344f02b
178,Imperial Beach,27583,72,0,5,16,51,331,57,195,79,1,San Diego,15916121.4140625,20877.2155003246,ef1eca96-b283-42b2-8a6d-9eca028bd869
179,Indian Wells,5500,13,0,1,2,10,138,44,89,5,0,Riverside,54714791.8867188,37000.3796159802,58c9b952-1278-44c4-91fe-55ec29c0a952
180,Indio,92803,530,1,45,118,366,1880,304,1218,358,6,Riverside,128486304.171875,88236.0907133974,50daba69-c544-4922-b0db-a8db1a73849e
181,Industry,201,72,0,1,41,30,1180,156,899,125,7,Los Angeles,45486035.1601563,134966.280098386,01bbbe9e-e665-4801-bd5c-4d8488308769
182,Inglewood,109386,671,2,51,358,260,2321,308,1356,657,8,Los Angeles,34347661.0117188,33226.1317446045,2c6a727e-9315-40df-9e23-b4510279af10
183,Ione,8454,11,0,1,1,9,46,9,35,2,0,Amador,19481241.4492188,29435.8182497201,de873e25-83f8-46eb-ae56-a7427ee769f4
184,Irvine,292673,188,1,52,66,69,3823,574,3086,163,9,Orange,247401855.121094,95122.6911095878,2bd8a2f4-0ce1-4272-8807-406ccb8d2dbc
185,Irwindale,1469,26,0,1,8,17,240,73,139,28,3,Los Angeles,36466011.9296875,48481.2316503603,9fd1d90f-5899-4e0a-8ad2-05589f5a6fe9
186,Isleton,849,7,1,0,0,6,4,1,2,1,0,Sacramento,1958408.734375,10250.50420032,866e9f78-8514-4116-987f-6af297d6ad1d
187,Jackson,4797,30,0,3,0,27,133,15,107,11,9,Amador,15153684.6875,34718.1514196566,001b8d61-08e9-4eb1-932d-1d12599e3d40
188,Jurupa Valley,110111,317,6,7,86,218,2494,406,1346,742,8,Riverside,164923950.671875,61890.0614260409,ecf83700-0311-4634-ad74-e5618d65049d
189,Kerman,15223,23,0,3,4,16,308,58,214,36,0,Fresno,13607246.1289063,22574.903209005,481dd15d-6875-4e1b-8911-9e27e4873134
190,King City,14170,19,0,3,9,7,148,43,80,25,10,Monterey,16014595.1601563,31565.1988254942,3913746f-b414-4cd6-83c7-bc7e7d404d96
191,Kingsburg,12123,18,0,2,3,13,219,76,107,36,1,Fresno,14958994.15625,30624.4041127961,f4a7f4aa-e788-48f9-bebe-0f7f424437fc
192,Lafayette,26872,4,0,1,3,0,358,42,286,30,0,Contra Costa,63283520.6171875,55338.3834566903,df930c55-b08d-4b57-93dd-01f26511050b
193,Laguna Beach,23020,38,1,17,5,15,326,43,261,22,3,Orange,33138917.0585938,64389.0854700343,e61c297d-07f9-4ad6-be45-08ecc01336b9
194,Laguna Hills,31123,32,0,3,15,14,405,82,288,35,2,Orange,24878973.8632813,36409.4749635309,53d7c7b5-27e8-4275-a759-18b7c286ff69
195,Laguna Niguel,66671,43,1,9,12,21,607,105,463,39,2,Orange,55229713.3867188,44223.7391339646,0b8abfdb-f64d-4a4c-95df-0c9d768a5b5e
196,Laguna Woods,16043,7,0,0,2,5,124,20,96,8,0,Orange,12378183.5546875,27897.5638547132,cda6db4d-21b3-45e2-b468-a78c20156c17
